iter	Passed	Remaining
566	1597	1220
567	1599	1216
568	1601	1212
569	1602	1209
570	1607	1207
571	1608	1203
572	1610	1199
573	1611	1196
574	1613	1192
575	1615	1189
576	1619	1187
577	1621	1183
578	1623	1180
579	1624	1176
580	1626	1172
581	1628	1169
582	1633	1168
583	1634	1164
584	1636	1160
585	1637	1157
586	1639	1153
587	1643	1151
588	1646	1148
589	1648	1145
590	1649	1141
591	1651	1137
592	1653	1134
593	1656	1132
594	1659	1129
595	1660	1125
596	1662	1122
597	1663	1118
598	1665	1115
599	1668	1112
600	1670	1109
601	1673	1106
602	1674	1102
603	1676	1098
604	1679	1096
605	1681	1093
606	1684	1090
607	1685	1086
608	1687	1083
609	1692	1082
610	1694	1078
611	1695	1074
612	1696	1071
613	1699	1068
614	1701	1064
615	1705	1063
616	1706	1059
617	1708	1055
618	1710	1052
619	1711	1049
620	1714	1046
621	1719	1045
622	1721	1041
623	1722	1038
624	1724	1034
625	1727	1032
626	1730	1029
627	1732	1025
628	1733	1022
629	1735	1019
630	1737	1016
631	1744	1015
632	1746	1012
633	1747	1008
634	1752	1007
635	1755	1004
636	1757	1001
637	1758	998
638	1760	994
639	1762	991
640	1764	988
641	1766	984
642	1767	981
643	1769	978
644	1772	975
645	1775	972
646	1777	969
647	1779	966
648	1780	963
649	1782	959
650	1785	957
651	1790	955
652	1791	952
653	1793	948
654	1795	945
655	1796	942
656	1800	939
657	1802	936
658	1804	933
659	1805	930
660	1808	927
661	1809	924
662	1814	922
663	1815	918
664	1817	915
665	1818	912
666	1820	909
667	1822	906
668	1826	903
669	1828	900
670	1829	897
671	1831	893
672	1833	890
673	1836	888
674	1840	886
675	1841	882
676	1843	879
677	1844	876
678	1846	872
679	1848	870
680	1851	867
681	1853	864
682	1854	860
683	1856	857
684	1857	854
685	1860	851
686	1863	848
687	1864	845
688	1865	842
689	1867	838
690	1871	836
691	1873	834
692	1875	830
693	1877	827
694	1878	824
695	1881	822
696	1884	819
697	1886	816
698	1888	813
699	1889	809
700	1891	806
701	1894	804
702	1897	801
703	1899	798
704	1901	795
705	1902	792
706	1903	788
707	1906	786
708	1910	784
709	1912	781
710	1913	777
711	1915	774
712	1916	771
713	1919	768
714	1922	766
715	1923	763
716	1925	759
717	1926	756
718	1928	753
719	1931	751
720	1934	748
721	1936	745
722	1937	742
723	1939	739
724	1940	736
725	1945	734
726	1947	731
727	1948	728
728	1950	725
729	1952	722
730	1953	718
731	1957	716
732	1959	713
733	1960	710
734	1962	707
735	1963	704
736	1965	701
737	1968	698
738	1971	696
739	1973	693
740	1975	690
741	1980	688
742	1981	685
743	1984	682
744	1985	679
745	1987	676
746	1992	674
747	1994	671
748	1995	668
749	1997	665
750	1998	662
751	2000	659
752	2003	657
753	2004	654
754	2006	651
755	2008	648
756	2009	645
757	2010	642
758	2016	640
759	2017	637
760	2019	634
761	2021	631
762	2022	628
763	2025	625
764	2026	622
765	2028	619
766	2030	616
767	2031	613
768	2032	610
769	2038	608
770	2039	605
771	2041	602
772	2042	599
773	2044	596
774	2047	594
775	2050	592
776	2052	589
777	2053	586
778	2055	583
779	2057	580
780	2058	577
781	2061	574
782	2063	571
783	2065	569
784	2066	566
785	2069	563
786	2072	560
787	2075	558
788	2077	555
789	2078	552
790	2080	549
791	2084	547
792	2087	544
793	2089	542
794	2090	539
795	2092	536
796	2093	533
797	2096	530
798	2100	528
799	2102	525
800	2103	522
801	2104	519
802	2107	516
803	2109	514
804	2111	511
805	2112	508
806	2114	505
807	2115	502
808	2117	499
809	2121	497
810	2123	494
811	2124	491
812	2126	489
813	2127	486
814	2129	483
815	2131	480
816	2133	477
817	2134	474
818	2136	472
819	2137	469
820	2139	466
821	2143	464
822	2145	461
823	2147	458
824	2148	455
825	2150	453
826	2152	450
827	2155	447
828	2157	444
829	2158	442
830	2160	439
831	2161	436
832	2165	434
833	2169	431
834	2171	429
835	2173	426
836	2174	423
837	2177	420
838	2180	418
839	2182	415
840	2184	412
841	2185	410
842	2187	407
843	2189	404
844	2194	402
845	2195	399
846	2197	396
847	2198	394
848	2200	391
849	2205	389
850	2207	386
851	2208	383
852	2210	380
853	2211	378
854	2213	375
855	2217	373
856	2219	370
857	2220	367
858	2222	364
859	2224	362
860	2225	359
861	2228	356
862	2230	354
863	2232	351
864	2233	348
865	2235	345
866	2237	343
867	2240	340
868	2243	338
869	2244	335
870	2245	332
871	2248	329
872	2250	327
873	2252	324
874	2254	322
875	2255	319
876	2258	316
877	2263	314
878	2265	311
879	2266	309
880	2268	306
881	2270	303
882	2273	301
883	2275	298
884	2277	295
885	2278	293
886	2280	290
887	2282	287
888	2285	285
889	2287	282
890	2288	280
891	2290	277
892	2291	274
893	2294	272
894	2296	269
895	2298	266
896	2299	264
897	2301	261
898	2303	258
899	2308	256
900	2310	253
901	2312	251
902	2313	248
903	2314	245
904	2316	243
905	2321	240
906	2322	238
907	2324	235
908	2326	232
909	2328	230
910	2330	227
911	2333	225
912	2335	222
913	2336	219
914	2338	217
915	2339	214
916	2343	212
917	2345	209
918	2346	206
919	2348	204
920	2349	201
921	2351	198
922	2354	196
923	2356	193
924	2358	191
925	2359	188
926	2361	185
927	2363	183
928	2366	180
929	2368	178
930	2370	175
931	2371	173
932	2373	170
933	2376	167
934	2379	165
935	2382	162
936	2383	160
937	2384	157
938	2386	155
939	2388	152
940	2392	150
941	2394	147
942	2395	144
943	2397	142
944	2399	139
945	2401	137
946	2405	134
947	2407	132
948	2408	129
949	2410	126
950	2411	124
951	2414	121
952	2418	119
953	2420	116
954	2421	114
955	2422	111
956	2424	108
957	2427	106
958	2430	103
959	2432	101
960	2433	98
961	2435	96
962	2436	93
963	2440	91
964	2442	88
965	2444	86
966	2445	83
967	2447	80
968	2448	78
969	2453	75
970	2455	73
971	2457	70
972	2459	68
973	2460	65
974	2461	63
975	2466	60
976	2468	58
977	2469	55
978	2472	53
979	2473	50
980	2476	47
981	2479	45
982	2480	42
983	2481	40
984	2483	37
985	2485	35
986	2487	32
987	2492	30
988	2493	27
989	2495	25
990	2496	22
991	2498	20
992	2502	17
993	2504	15
994	2506	12
995	2507	10
996	2509	7
997	2510	5
998	2515	2
999	2517	0
